accommodates,price,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,availability_90,number_of_reviews,amenities,number_of_reviews_l30d,bedrooms,beds,minimum_nights,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count_entire_homes,latitude,longitude,bathroom_number,air_conditioning,kitchen,coffee_maker,elevator,distance
6,600,Sant Antoni,Eixample,Entire home/apt,62,24,"[""Air conditioning"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Smoke alarm"", ""Clothing storage""]",0,3.0,6.0,3,4.33,4.71,4.42,161,41.38274,2.15997,2.0,1,1,1,1,1.0363550398244277
6,599,la Vila de Gràcia,Gràcia,Entire home/apt,83,39,"[""Cable TV"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""High chair"", ""Hangers"", ""Free dryer \u2013 In building"", ""Microwave"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Backyard"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Free washer \u2013 In building"", ""Crib"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Patio or balcony"", ""Shared pool""]",1,1.0,1.0,1,4.9,4.82,4.38,4,41.39906,2.15328,2.5,1,1,1,1,1.3141729555966521
10,599,la Dreta de l'Eixample,Eixample,Entire home/apt,33,206,"[""Stove"", ""Air conditioning"", ""Baking sheet"", ""Cooking basics"", ""Dryer"", ""Dining table"", ""High chair"", ""Room-darkening shades"", ""Private patio or balcony"", ""Hangers"", ""Freezer"", ""Bathtub"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Babysitter recommendations"", ""Ping pong table"", ""Heating"", ""Nespresso machine"", ""Backyard"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Body soap"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Outdoor dining area"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""TV with Apple TV, Netflix"", ""Dedicated workspace"", ""Outdoor furniture"", ""Piano"", ""Pool table""]",3,4.0,6.0,3,4.85,4.99,4.7,15,41.39362,2.16868,5.5,1,1,1,0,0.4004429159846679
8,599,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,57,3,"[""Cable TV"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Hangers"", ""Microwave"", ""Extra pillows and blankets"", ""Lockbox"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Breakfast"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Patio or balcony""]",0,4.0,7.0,1,4.0,4.67,4.0,3,41.38386,2.1796,2.0,1,1,1,1,1.4623590577647103
16,595,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,50,187,"[""Stove"", ""Cooking basics"", ""Private patio or balcony"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer""]",1,6.0,13.0,1,4.35,4.89,4.37,22,41.38851,2.16333,2.5,0,1,0,1,0.3363653609625266
12,587,la Dreta de l'Eixample,Eixample,Entire home/apt,45,20,"[""Fire extinguisher"", ""Baby bath"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Dryer"", ""Dining table"", ""High chair"", ""Room-darkening shades"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Bathtub"", ""TV"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Dishwasher"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Clothing storage: closet"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Body soap"", ""Elevator"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Ceiling fan""]",0,5.0,6.0,4,4.8,5.0,4.7,39,41.39116,2.17127,3.0,1,1,1,1,0.5160104079605036
10,586,la Dreta de l'Eixample,Eixample,Entire home/apt,38,10,"[""Kitchen"", ""Hot water"", ""Long term stays allowed"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Stove"", ""Microwave"", ""Refrigerator"", ""Essentials"", ""Iron"", ""Bed linens"", ""Cooking basics"", ""Elevator"", ""Coffee maker""]",0,5.0,10.0,3,4.9,4.9,4.8,4,41.3858,2.16758,3.0,1,1,1,1,0.6390138120726073
6,585,la Dreta de l'Eixample,Eixample,Entire home/apt,53,27,"[""Cable TV"", ""Fire extinguisher"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Ethernet connection"", ""Dryer"", ""High chair"", ""Hangers"", ""Bathtub"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""First aid kit"", ""Wifi"", ""Dishes and silverware"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Crib"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Window guards"", ""Building staff""]",0,3.0,6.0,1,4.85,4.96,4.81,7,41.39156,2.16836,3.0,1,1,1,0,0.2755963619112196
10,583,la Dreta de l'Eixample,Eixample,Entire home/apt,29,84,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""High chair"", ""Hangers"", ""Free dryer \u2013 In unit"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Smoke alarm"", ""Free washer \u2013 In unit""]",2,5.0,7.0,1,4.71,4.96,4.63,34,41.3884,2.1705,3.0,1,1,1,1,0.5507414566231403
9,581,el Poble Sec,Sants-Montjuïc,Entire home/apt,60,90,"[""Air conditioning"", ""Dryer"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Patio or balcony"", ""Clothing storage""]",0,5.0,10.0,2,4.46,4.77,4.44,161,41.37394,2.16887,2.0,1,1,1,1,1.9486951436732445
